[SYS] 2023/12/27 - 16:53:34 | One API  started 
[SYS] 2023/12/27 - 16:53:34 | using MySQL as database 
[FATAL] 2023/12/27 - 16:53:34 | [dial tcp 172.22.0.3:3306: connect: connection refused] 
[SYS] 2023/12/27 - 16:53:35 | One API  started 
[SYS] 2023/12/27 - 16:53:35 | using MySQL as database 
[SYS] 2023/12/27 - 16:53:35 | database migration started 
[SYS] 2023/12/27 - 16:53:35 | database migrated 
[SYS] 2023/12/27 - 16:53:35 | SYNC_FREQUENCY not set, Redis is disabled 
[SYS] 2023/12/27 - 16:53:35 | initializing token encoders 
[SYS] 2023/12/27 - 16:53:35 | token encoders initialized 
[GIN] 2023/12/27 - 17:29:22 | 20231227172922931534937Vc6LNRFT | 200 |      67.116µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:29:53 | 2023122717295337417176E7MUq8S9 | 200 |      57.346µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:30:23 | 20231227173023133376891EgLOLYx4 | 200 |      43.036µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:30:53 | 20231227173053237289536g8V4WMq7 | 200 |      45.283µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:31:23 | 20231227173123321404309PzfHIvsY | 200 |      32.908µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:31:25 | 20231227173125174726068QX6H6tjL | 200 |     323.694µs |   10.10.111.146 |     GET /channel/add
[GIN] 2023/12/27 - 17:31:25 | 20231227173125279169809hiG3345X | 401 |     134.625µs |   10.10.111.146 |     GET /api/group/
[GIN] 2023/12/27 - 17:31:25 | 20231227173125279148173bW0KWl3V | 401 |     150.909µs |   10.10.111.146 |     GET /api/channel/models
[GIN] 2023/12/27 - 17:31:25 | 20231227173125279742161qhjOLfXf | 200 |     108.181µs |   10.10.111.146 |     GET /api/status
[GIN] 2023/12/27 - 17:31:25 | 20231227173125360131300vDMeKOmK | 200 |     106.813µs |   10.10.111.146 |     GET /login?expired=true
[GIN] 2023/12/27 - 17:31:25 | 20231227173125371848058LwzJKMoi | 200 |     132.339µs |   10.10.111.146 |     GET /login?expired=true
[GIN] 2023/12/27 - 17:31:25 | 20231227173125422945513kKml1A7K | 200 |      87.982µs |   10.10.111.146 |     GET /api/status
[GIN] 2023/12/27 - 17:31:33 | 20231227173133695064747BCKP1hOf | 200 |   40.397565ms |   10.10.111.146 |    POST /api/user/login
[GIN] 2023/12/27 - 17:31:33 | 20231227173133767928657kwKApsb9 | 200 |     786.938µs |   10.10.111.146 |     GET /api/token/?p=0
[GIN] 2023/12/27 - 17:31:38 | 20231227173138712099741PGhaYA2c | 200 |     650.904µs |   10.10.111.146 |     GET /api/channel/?p=0
[GIN] 2023/12/27 - 17:31:39 | 20231227173139878639640Ek2iZeEG | 200 |    1.154156ms |   10.10.111.146 |     GET /api/channel/models
[GIN] 2023/12/27 - 17:31:39 | 20231227173139878874042INXmEYYd | 200 |    1.129782ms |   10.10.111.146 |     GET /api/group/
[GIN] 2023/12/27 - 17:31:53 | 20231227173153427452547fDRLvvLh | 200 |      45.811µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:32:23 | 20231227173223529891192mtnVK9I2 | 200 |      75.854µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:32:53 | 20231227173253605247646foXXgsAa | 200 |      38.217µs |       127.0.0.1 |     GET /api/status
