[SYS] 2024/01/02 - 10:29:25 | One API  started 
[SYS] 2024/01/02 - 10:29:25 | using MySQL as database 
[FATAL] 2024/01/02 - 10:29:25 | [dial tcp 172.22.0.3:3306: connect: connection refused] 
[SYS] 2024/01/02 - 10:29:26 | One API  started 
[SYS] 2024/01/02 - 10:29:26 | using MySQL as database 
[SYS] 2024/01/02 - 10:29:26 | database migration started 
[SYS] 2024/01/02 - 10:29:26 | database migrated 
[SYS] 2024/01/02 - 10:29:26 | SYNC_FREQUENCY not set, Redis is disabled 
[SYS] 2024/01/02 - 10:29:26 | initializing token encoders 
[SYS] 2024/01/02 - 10:29:26 | token encoders initialized 
[GIN] 2024/01/02 - 11:17:05 | 2024010211170534613800ZKabfdSw | 200 |      36.666µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:17:35 | 20240102111735113887040B87ro6OI | 200 |      94.965µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:18:05 | 20240102111805192926506qlBaNoCt | 200 |       47.27µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:18:35 | 20240102111835306461698iGuoAb9e | 200 |      44.454µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:19:05 | 20240102111905408184117DIFn5j9Q | 200 |       51.01µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:19:35 | 20240102111935501933786t1AytuZi | 200 |      87.558µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:20:05 | 20240102112005572888803uu9wdK51 | 200 |       36.63µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:20:35 | 20240102112035655679652VQUgO7j3 | 200 |      34.656µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:21:05 | 20240102112105753231136AIMP7Xhl | 200 |      58.752µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:21:35 | 20240102112135814983798xKWulLlW | 200 |      53.045µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:22:05 | 20240102112205905493852d4Ne7pik | 200 |      44.208µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:22:35 | 20240102112235988746230y5S4ZUKv | 200 |      43.765µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:23:06 | 2024010211230673715669T8ykQXyl | 200 |      45.973µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:23:36 | 2024010211233616117707888MeiG0N | 200 |      69.587µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:24:06 | 20240102112406272977734hnX7e9zI | 200 |      39.596µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:24:36 | 20240102112436338348224VlSz4Nas | 200 |      33.087µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:25:06 | 20240102112506418787938QbxPfEZ6 | 200 |      57.071µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:25:36 | 20240102112536493114147CkmHv6EB | 200 |      39.016µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:26:06 | 20240102112606589049247cGlK7J0s | 200 |      28.487µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:26:36 | 20240102112636650611554hqsIayGU | 200 |      52.181µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:27:06 | 20240102112706724891690iaVCcWP9 | 200 |      32.446µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:27:36 | 20240102112736831701689lUn1AUFJ | 200 |      76.213µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:28:06 | 202401021128069150417096qKXD3Fn | 200 |      38.116µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:28:37 | 202401021128375112688OlUkDUlr | 200 |      44.114µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:29:07 | 2024010211290785016908qu8qqCqx | 200 |      46.335µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:29:37 | 20240102112937181569260zbzskXf5 | 200 |      89.204µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:30:07 | 20240102113007237133669K3pjL5yL | 200 |      48.936µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:30:37 | 20240102113037344812699bR5UYpFw | 200 |      31.901µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:31:07 | 20240102113107465458250DbyA79lv | 200 |      48.912µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:31:37 | 20240102113137570536838GNEKN35a | 200 |      57.438µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:32:07 | 20240102113207637176798yUjGJOeK | 200 |      30.786µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:32:37 | 20240102113237734740627ZWc8qdUx | 200 |      42.165µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:33:07 | 202401021133077928305753UETIpXH | 200 |      48.083µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:33:37 | 20240102113337858493162TTnIdl12 | 200 |      35.579µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:34:07 | 20240102113407936016449bkzzCuKJ | 200 |      41.892µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:34:38 | 2024010211343833421047AiQcCRd8 | 200 |      44.012µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:35:08 | 20240102113508153691446GTBPKqbx | 200 |      60.819µs |       127.0.0.1 |     GET /api/status
